지점명,일시,풍향(deg),풍속(m/s),강수량(mm),습도(%)
서초구,2019-01-01 0:00,187.8,0.9,0,
서초구,2019-01-01 1:00,160,1.3,0,
서초구,2019-01-01 2:00,152.2,0.5,0,
서초구,2019-01-01 3:00,171.9,0.8,0,
서초구,2019-01-01 4:00,218.8,0.9,0,
서초구,2019-01-01 5:00,169.3,0.5,0,
서초구,2019-01-01 6:00,188.6,0.9,0,
서초구,2019-01-01 7:00,161.7,1.1,0,
서초구,2019-01-01 8:00,162.7,1.3,0,
서초구,2019-01-01 9:00,150.8,0.7,0,
서초구,2019-01-01 10:00,345.2,1.6,0,
서초구,2019-01-01 11:00,317.4,2.1,0,
서초구,2019-01-01 12:00,327.5,2.1,0,
서초구,2019-01-01 13:00,331.6,1.8,0,
서초구,2019-01-01 14:00,289,2.4,0,
서초구,2019-01-01 15:00,323.4,2.8,0,
서초구,2019-01-01 16:00,294.7,1.7,0,
서초구,2019-01-01 17:00,325.6,2.6,0,
서초구,2019-01-01 18:00,303.7,2,0,
서초구,2019-01-01 19:00,317.7,1.2,0,
서초구,2019-01-01 20:00,318.4,1.5,0,
서초구,2019-01-01 21:00,322.1,2.9,0,
서초구,2019-01-01 22:00,327.5,3.4,0,
서초구,2019-01-01 23:00,327.3,1.6,0,
서초구,2019-01-02 0:00,323,2.2,0,
서초구,2019-01-02 1:00,328.8,1.4,0,
서초구,2019-01-02 2:00,199.2,0.6,0,
서초구,2019-01-02 3:00,182.2,1,0,
서초구,2019-01-02 4:00,170.6,1,0,
서초구,2019-01-02 5:00,163.7,1,0,
서초구,2019-01-02 6:00,155.6,1.3,0,
서초구,2019-01-02 7:00,155.3,1.3,0,
서초구,2019-01-02 8:00,149.4,1,0,
서초구,2019-01-02 9:00,149.8,1.1,0,
서초구,2019-01-02 10:00,334.3,0.9,0,
서초구,2019-01-02 11:00,318.1,2.1,0,
서초구,2019-01-02 12:00,344.1,1.8,0,
서초구,2019-01-02 13:00,306.7,2.3,0,
서초구,2019-01-02 14:00,316.2,2.2,0,
서초구,2019-01-02 15:00,309.8,2.4,0,
서초구,2019-01-02 16:00,312.6,2.1,0,
서초구,2019-01-02 17:00,320.1,1.9,0,
서초구,2019-01-02 18:00,314.8,1.8,0,
서초구,2019-01-02 19:00,298.2,1,0,
서초구,2019-01-02 20:00,190.5,1.1,0,
서초구,2019-01-02 21:00,154.7,1.5,0,
서초구,2019-01-02 22:00,154.5,1.3,0,
서초구,2019-01-02 23:00,309.5,1.3,0,
서초구,2019-01-03 0:00,306.4,1,0,
서초구,2019-01-03 1:00,281.4,0.7,0,
서초구,2019-01-03 2:00,316.8,1.7,0,
서초구,2019-01-03 3:00,180.3,0.6,0,
서초구,2019-01-03 4:00,174.2,0.7,0,
서초구,2019-01-03 5:00,190.1,0.9,0,
서초구,2019-01-03 6:00,155.9,0.8,0,
서초구,2019-01-03 7:00,171.7,1.1,0,
서초구,2019-01-03 8:00,148,1.3,0,
서초구,2019-01-03 9:00,138.4,1,0,
서초구,2019-01-03 10:00,162.7,0.8,0,
서초구,2019-01-03 11:00,201.9,1.1,0,
서초구,2019-01-03 12:00,339.4,1.3,0,
서초구,2019-01-03 13:00,221.3,1.8,0,
