측정일시,측정소명,미세먼지 1시간(㎍/㎥),미세먼지 24시간(㎍/㎥)
2019-01-01 0:00,성동구,50,48
2019-01-01 0:00,종로구,36,39
2019-01-01 0:00,마포구,45,48
2019-01-01 0:00,광진구,44,41
2019-01-01 0:00,중랑구,36,38
2019-01-01 0:00,성북구,45,39
2019-01-01 0:00,강북구,47,48
2019-01-01 0:00,도봉구,42,34
2019-01-01 0:00,노원구,46,51
2019-01-01 0:00,구로구,30,34
2019-01-01 0:00,강동구,53,44
2019-01-01 0:00,강남구,35,37
2019-01-01 0:00,동대문구,35,38
2019-01-01 0:00,동작구,36,40
2019-01-01 1:00,중랑구,41,38
2019-01-01 1:00,마포구,48,48
2019-01-01 1:00,동대문구,36,37
2019-01-01 1:00,강북구,47,46
2019-01-01 1:00,강동구,54,47
2019-01-01 1:00,종로구,34,37
2019-01-01 1:00,성동구,46,48
2019-01-01 1:00,노원구,49,50
2019-01-01 1:00,광진구,41,41
2019-01-01 1:00,강남구,34,36
2019-01-01 1:00,도봉구,42,35
2019-01-01 1:00,동작구,39,39
2019-01-01 1:00,성북구,41,39
2019-01-01 1:00,구로구,40,35
2019-01-01 2:00,도봉구,37,35
2019-01-01 2:00,종로구,37,36
2019-01-01 2:00,마포구,52,48
2019-01-01 2:00,강북구,43,45
2019-01-01 2:00,광진구,38,40
2019-01-01 2:00,중랑구,32,37
2019-01-01 2:00,성동구,41,46
2019-01-01 2:00,성북구,47,40
2019-01-01 2:00,동대문구,40,36
2019-01-01 2:00,강동구,48,47
2019-01-01 2:00,강남구,40,36
2019-01-01 2:00,구로구,43,36
2019-01-01 2:00,노원구,48,49
2019-01-01 2:00,동작구,36,38
2019-01-01 3:00,중랑구,34,36
2019-01-01 3:00,동대문구,40,37
2019-01-01 3:00,성동구,55,46
2019-01-01 3:00,마포구,56,49
2019-01-01 3:00,종로구,38,36
2019-01-01 3:00,강북구,44,44
2019-01-01 3:00,노원구,49,47
2019-01-01 3:00,강동구,46,47
2019-01-01 3:00,도봉구,33,35
2019-01-01 3:00,성북구,43,41
2019-01-01 3:00,강남구,45,37
2019-01-01 3:00,구로구,49,38
2019-01-01 3:00,동작구,38,38
2019-01-01 3:00,광진구,41,39
2019-01-01 4:00,강북구,40,43
2019-01-01 4:00,동대문구,36,37
2019-01-01 4:00,성동구,47,46
2019-01-01 4:00,마포구,52,51
2019-01-01 4:00,중랑구,32,35
2019-01-01 4:00,종로구,36,36
2019-01-01 4:00,성북구,39,40
2019-01-01 4:00,노원구,46,47
2019-01-01 4:00,강동구,44,46
2019-01-01 4:00,강남구,42,39
2019-01-01 4:00,구로구,42,39
2019-01-01 4:00,광진구,38,39
2019-01-01 4:00,도봉구,37,35
2019-01-01 4:00,동작구,40,38
2019-01-01 5:00,노원구,48,47
2019-01-01 5:00,종로구,41,37
2019-01-01 5:00,동대문구,40,38
2019-01-01 5:00,광진구,35,38
2019-01-01 5:00,강북구,41,42
2019-01-01 5:00,성북구,38,40
2019-01-01 5:00,마포구,52,51
2019-01-01 5:00,중랑구,38,34
2019-01-01 5:00,성동구,46,46
2019-01-01 5:00,강남구,49,41
2019-01-01 5:00,도봉구,38,35
2019-01-01 5:00,동작구,48,39
2019-01-01 5:00,강동구,46,45
2019-01-01 5:00,구로구,40,39
2019-01-01 6:00,광진구,38,38
2019-01-01 6:00,성동구,55,48
2019-01-01 6:00,동대문구,41,38
2019-01-01 6:00,강북구,40,42
2019-01-01 6:00,마포구,54,52
2019-01-01 6:00,종로구,41,38
2019-01-01 6:00,도봉구,34,36
2019-01-01 6:00,노원구,45,47
2019-01-01 6:00,성북구,40,40
2019-01-01 6:00,강남구,49,43
2019-01-01 6:00,동작구,46,41
2019-01-01 6:00,강동구,41,44
2019-01-01 6:00,구로구,37,39
2019-01-01 6:00,중랑구,33,35
2019-01-01 7:00,강북구,45,43
2019-01-01 7:00,중랑구,38,35
2019-01-01 7:00,성북구,39,39
2019-01-01 7:00,마포구,41,50
2019-01-01 7:00,종로구,38,38
2019-01-01 7:00,성동구,54,49
2019-01-01 7:00,도봉구,42,37
2019-01-01 7:00,노원구,50,48
2019-01-01 7:00,동대문구,43,39
2019-01-01 7:00,강동구,44,44
2019-01-01 7:00,구로구,31,37
2019-01-01 7:00,강남구,42,42
2019-01-01 7:00,동작구,45,42
2019-01-01 7:00,광진구,34,37
2019-01-01 8:00,동대문구,37,39
2019-01-01 8:00,도봉구,42,38
2019-01-01 8:00,성북구,42,40
2019-01-01 8:00,마포구,39,48
2019-01-01 8:00,종로구,35,38
2019-01-01 8:00,중랑구,36,36
2019-01-01 8:00,광진구,40,38
2019-01-01 8:00,강남구,38,42
2019-01-01 8:00,강북구,50,44
2019-01-01 8:00,성동구,46,49
2019-01-01 8:00,강동구,40,44
2019-01-01 8:00,구로구,30,36
2019-01-01 8:00,동작구,65,47
2019-01-01 8:00,노원구,49,49
2019-01-01 9:00,동대문구,42,40
2019-01-01 9:00,중랑구,40,36
2019-01-01 9:00,성북구,38,40
2019-01-01 9:00,종로구,40,38
2019-01-01 9:00,성동구,59,51
2019-01-01 9:00,마포구,37,46
2019-01-01 9:00,노원구,50,49
2019-01-01 9:00,도봉구,44,39
2019-01-01 9:00,강동구,42,43
2019-01-01 9:00,강남구,41,42
2019-01-01 9:00,동작구,89,54
2019-01-01 9:00,구로구,35,35
2019-01-01 9:00,광진구,40,39
2019-01-01 9:00,강북구,52,46
2019-01-01 10:00,중랑구,39,37
2019-01-01 10:00,종로구,38,38
2019-01-01 10:00,마포구,37,43
2019-01-01 10:00,광진구,53,41
2019-01-01 10:00,성북구,36,40
2019-01-01 10:00,동대문구,40,40
2019-01-01 10:00,노원구,52,50
2019-01-01 10:00,도봉구,53,43
2019-01-01 10:00,강북구,56,48
2019-01-01 10:00,성동구,50,51
2019-01-01 10:00,강남구,39,40
2019-01-01 10:00,강동구,44,44
2019-01-01 10:00,구로구,36,35
2019-01-01 10:00,동작구,56,56
2019-01-01 11:00,광진구,54,44
2019-01-01 11:00,성동구,58,52
2019-01-01 11:00,도봉구,44,43
2019-01-01 11:00,종로구,30,36
2019-01-01 11:00,성북구,46,41
2019-01-01 11:00,마포구,38,42
2019-01-01 11:00,강북구,61,51
2019-01-01 11:00,강동구,49,45
2019-01-01 11:00,동대문구,47,41
2019-01-01 11:00,노원구,42,48
2019-01-01 11:00,동작구,41,56
2019-01-01 11:00,강남구,0,40
2019-01-01 11:00,구로구,38,36
2019-01-01 11:00,중랑구,46,39
2019-01-01 12:00,동대문구,47,42
2019-01-01 12:00,중랑구,43,40
2019-01-01 12:00,도봉구,30,41
2019-01-01 12:00,종로구,28,35
2019-01-01 12:00,노원구,37,46
2019-01-01 12:00,마포구,38,41
2019-01-01 12:00,강북구,53,52
2019-01-01 12:00,광진구,52,46
2019-01-01 12:00,성동구,35,50
2019-01-01 12:00,강동구,55,47
2019-01-01 12:00,강남구,29,39
2019-01-01 12:00,구로구,36,37
2019-01-01 12:00,동작구,38,52
2019-01-01 12:00,성북구,40,40
2019-01-01 13:00,광진구,35,45
2019-01-01 13:00,강북구,52,52
2019-01-01 13:00,노원구,40,45
2019-01-01 13:00,마포구,40,41
2019-01-01 13:00,종로구,36,35
