측정일시,측정소명,미세먼지 1시간(㎍/㎥),미세먼지 24시간(㎍/㎥)
2019-01-01 0:00,중구,39,41
2019-01-01 0:00,용산구,31,33
2019-01-01 0:00,서대문구,46,43
2019-01-01 0:00,은평구,35,39
2019-01-01 0:00,송파구,43,43
2019-01-01 0:00,서초구,36,36
2019-01-01 0:00,강서구,46,52
2019-01-01 0:00,영등포구,44,43
2019-01-01 0:00,관악구,36,45
2019-01-01 0:00,양천구,41,47
2019-01-01 0:00,금천구,36,39
2019-01-01 1:00,서대문구,48,44
2019-01-01 1:00,용산구,33,32
2019-01-01 1:00,중구,39,40
2019-01-01 1:00,은평구,27,36
2019-01-01 1:00,송파구,57,45
2019-01-01 1:00,서초구,37,36
2019-01-01 1:00,양천구,50,46
2019-01-01 1:00,영등포구,43,42
2019-01-01 1:00,강서구,53,51
2019-01-01 1:00,관악구,44,44
2019-01-01 1:00,금천구,33,37
2019-01-01 2:00,용산구,34,32
2019-01-01 2:00,중구,38,39
2019-01-01 2:00,서대문구,41,43
2019-01-01 2:00,은평구,34,35
2019-01-01 2:00,서초구,38,36
2019-01-01 2:00,송파구,60,47
2019-01-01 2:00,금천구,34,36
2019-01-01 2:00,영등포구,47,42
2019-01-01 2:00,강서구,55,51
2019-01-01 2:00,양천구,56,47
2019-01-01 2:00,관악구,45,43
2019-01-01 3:00,중구,42,39
2019-01-01 3:00,은평구,34,34
2019-01-01 3:00,용산구,33,32
2019-01-01 3:00,서대문구,46,44
2019-01-01 3:00,송파구,57,50
2019-01-01 3:00,서초구,34,35
2019-01-01 3:00,금천구,36,35
2019-01-01 3:00,관악구,51,43
2019-01-01 3:00,양천구,56,49
2019-01-01 3:00,강서구,61,52
2019-01-01 3:00,영등포구,54,45
2019-01-01 4:00,은평구,32,33
2019-01-01 4:00,중구,42,39
2019-01-01 4:00,용산구,33,32
2019-01-01 4:00,서대문구,45,44
2019-01-01 4:00,서초구,39,36
2019-01-01 4:00,금천구,36,35
2019-01-01 4:00,양천구,54,51
2019-01-01 4:00,송파구,48,51
2019-01-01 4:00,강서구,54,53
2019-01-01 4:00,관악구,47,45
2019-01-01 4:00,영등포구,46,45
2019-01-01 5:00,중구,49,41
2019-01-01 5:00,용산구,40,34
2019-01-01 5:00,은평구,35,34
2019-01-01 5:00,서대문구,50,45
2019-01-01 5:00,송파구,37,48
2019-01-01 5:00,서초구,42,36
2019-01-01 5:00,강서구,52,53
2019-01-01 5:00,금천구,40,36
2019-01-01 5:00,관악구,45,45
2019-01-01 5:00,양천구,51,51
2019-01-01 5:00,영등포구,45,45
2019-01-01 6:00,은평구,41,35
2019-01-01 6:00,용산구,41,35
2019-01-01 6:00,중구,47,43
2019-01-01 6:00,서대문구,49,46
2019-01-01 6:00,서초구,38,37
2019-01-01 6:00,송파구,42,45
2019-01-01 6:00,금천구,37,36
2019-01-01 6:00,강서구,54,53
2019-01-01 6:00,관악구,42,45
2019-01-01 6:00,양천구,53,51
